,Unnamed: 0,StockName,AvgGain
182,182,CARR,-0.6524830262152223
468,468,AMD,-0.3121274509257589
224,224,VNT,-0.3068735583420554
380,380,NVDA,-0.2565425244987371
463,463,TSLA,-0.2441703661201442
385,385,OTIS,-0.2328404286052925
155,155,PAYC,-0.23068595550915336
309,309,ETSY,-0.19438608947799124
10,10,NFLX,-0.19322651683566774
260,260,ALGN,-0.18990456234655287
269,269,ABMD,-0.18625438425293628
220,220,AMZN,-0.1749326242824083
44,44,DXCM,-0.1748875183711486
349,349,NOW,-0.16800307260066294
238,238,MSCI,-0.16570159829115616
82,82,MKTX,-0.15775098509456675
211,211,PYPL,-0.15702142757983362
110,110,TTWO,-0.1566471061971835
268,268,LRCX,-0.14874666749480453
331,331,CDNS,-0.14848634107213646
435,435,ADBE,-0.14699077918799025
255,255,TER,-0.1455684415193022
36,36,IDXX,-0.14540586835664315
325,325,CPRT,-0.14297184020105666
353,353,ZBRA,-0.13926128211196884
465,465,ANET,-0.13880424914490405
237,237,ADSK,-0.13485000303874647
282,282,POOL,-0.13265486602587992
344,344,FTNT,-0.13262478253239096
92,92,SNPS,-0.13222943171705948
281,281,GPN,-0.1312986658448725
327,327,WST,-0.125945064663113
31,31,AVGO,-0.12390968725515945
101,101,ATVI,-0.12388771788142755
66,66,AAPL,-0.1220634389038188
258,258,TMUS,-0.12134906951998276
19,19,BIO,-0.12018965564531202
214,214,ISRG,-0.11945659585878204
248,248,MSFT,-0.11862067687750352
348,348,EW,-0.11694155482943253
197,197,SIVB,-0.11568198928477025
141,141,CTAS,-0.11540287613849047
6,6,IR,-0.11535446207751793
233,233,LW,-0.1149542441131526
259,259,CTVA,-0.11477132407115305
68,68,ANSS,-0.1142732645625098
440,440,CTLT,-0.11405854765703399
135,135,KLAC,-0.11262488051927134
15,15,AMAT,-0.11129965023676587
342,342,INTU,-0.1110202999140928
86,86,DPZ,-0.11053016516534964
235,235,CRM,-0.11050943608636396
363,363,KEYS,-0.11036988750768376
77,77,MA,-0.11002824740936253
451,451,CHTR,-0.1078867238341779
433,433,IPGP,-0.10720898366018118
292,292,TYL,-0.1068675646758114
371,371,RMD,-0.1063426904570315
494,494,TDY,-0.10569825464661764
467,467,CDW,-0.10562858514980812
402,402,ROL,-0.10482820553903928
49,49,ODFL,-0.10446322567087013
193,193,FB,-0.1028385357490662
183,183,NEM,-0.1027766050253912
67,67,TDG,-0.10276455304746072
160,160,ZTS,-0.10229675605817437
250,250,VRSN,-0.10200076413940364
322,322,MTD,-0.10150089720367887
4,4,SPGI,-0.10146112431256836
277,277,XLNX,-0.10129803605717776
365,365,MCHP,-0.10072552032209917
415,415,TFX,-0.100086908237683
40,40,NVR,-0.09990929372525494
63,63,UNH,-0.09803438627417516
188,188,EL,-0.09755002437242824
52,52,MU,-0.09753374244119294
425,425,TMO,-0.09731063519670603
411,411,LYV,-0.09730227610118028
185,185,PGR,-0.0965045688098994
148,148,QRVO,-0.09569624141303096
217,217,URI,-0.09528275321301112
25,25,GOOG,-0.0942818382852484
466,466,EA,-0.09425193757771967
104,104,GOOGL,-0.09340214063790526
366,366,INFO,-0.09334258348957672
379,379,V,-0.09194604482199824
244,244,DHI,-0.09164932471036856
335,335,BBY,-0.091517196222919
180,180,PKI,-0.09128866198756468
207,207,BR,-0.09123415041308297
303,303,DE,-0.09121804809205823
372,372,FISV,-0.09068577088194082
271,271,TXN,-0.09063570103337047
252,252,DHR,-0.0903302054229822
262,262,IQV,-0.0900958651265548
369,369,HUM,-0.0897814682913519
338,338,EQIX,-0.08961917047606012
453,453,MCO,-0.08952718444516901
99,99,ALB,-0.08923393792968871
441,441,VRSK,-0.08860688157871591
24,24,AVY,-0.08770861307806267
316,316,NKE,-0.08703833510475048
362,362,ULTA,-0.08656346351352345
162,162,MXIM,-0.08634510499600541
324,324,TT,-0.08584808672536133
56,56,MLM,-0.08583014378302906
81,81,DRI,-0.08578539967025503
50,50,HWM,-0.08573042680524316
30,30,DG,-0.0854337250237833
156,156,FRC,-0.08504818566195213
166,166,ADI,-0.08486827771598447
167,167,PWR,-0.08471138208008551
364,364,ROST,-0.0842755286756028
145,145,A,-0.08423752561542103
174,174,HOLX,-0.08370962606997052
0,0,ACN,-0.08332906412329857
132,132,CNC,-0.083097838193611
46,46,BSX,-0.08308225895552443
208,208,APTV,-0.08266392667303235
408,408,STE,-0.08250314254704909
330,330,TWTR,-0.08229314988315757
373,373,SHW,-0.08215683913635498
502,502,ANTM,-0.08199076078277583
113,113,CSX,-0.08067718411488801
263,263,NEE,-0.08036354922003196
127,127,AWK,-0.08001198898962372
475,475,XYL,-0.07961241506458408
387,387,BLL,-0.07945499450812184
486,486,MNST,-0.07941307901110084
499,499,NDAQ,-0.07925053985505845
490,490,SWKS,-0.07914668942477236
179,179,ROP,-0.07883309411570766
17,17,FCX,-0.07849848851744415
295,295,LHX,-0.07825921544001663
227,227,SBUX,-0.0778554978047497
130,130,LDOS,-0.07782080488137089
418,418,FMC,-0.07780934361283627
404,404,SYK,-0.07776756650523389
27,27,DOW,-0.0771375740650981
