,Date,High,Low,Open,Close,Volume,Adj Close,%Gain or %Loss
0,2015-01-02,132.39999389648438,128.44000244140622,131.72000122070312,130.33000183105472,496300,130.33000183105472,0.0
1,2015-01-05,132.99000549316406,128.97000122070312,132.19000244140622,129.75999450683594,1355100,129.75999450683594,0.4373569525132612
2,2015-01-06,129.47000122070312,126.69000244140624,128.0,126.7300033569336,958500,126.7300033569336,2.33507342645789
3,2015-01-07,129.42999267578122,127.26000213623048,127.5500030517578,128.35000610351562,666000,128.35000610351562,-1.278310347723508
4,2015-01-08,131.07000732421878,128.72999572753906,129.80000305175778,129.64999389648438,1092000,129.64999389648438,-1.0128459144133553
5,2015-01-09,130.55000305175778,128.30999755859378,129.82000732421878,129.88999938964844,722500,129.88999938964844,-0.18511801346916265
6,2015-01-12,130.44999694824222,127.37999725341795,130.44999694824222,127.91999816894531,665300,127.91999816894531,1.5166688967281063
7,2015-01-13,132.22000122070312,127.48999786376952,128.66999816894528,128.66999816894528,848500,128.66999816894528,-0.5863039483548448
8,2015-01-14,126.0500030517578,122.11000061035156,125.05999755859376,125.5999984741211,1375200,125.5999984741211,2.3859483473320977
9,2015-01-15,127.66999816894531,124.11000061035156,126.5999984741211,124.22000122070312,869900,124.22000122070312,1.098723941228635
10,2015-01-16,126.4499969482422,123.97000122070312,124.45999908447266,126.29000091552734,790700,126.29000091552734,-1.6663980635022102
11,2015-01-20,127.3000030517578,125.1999969482422,127.26000213623048,126.25,1017400,126.25,0.03167385797558074
12,2015-01-21,127.66999816894531,125.12000274658205,126.75,125.9499969482422,3366800,125.9499969482422,0.23762617961013724
13,2015-01-22,114.62000274658205,108.5999984741211,108.6500015258789,113.4000015258789,9268900,113.4000015258789,9.964268143270049
14,2015-01-23,115.3000030517578,112.5,113.1500015258789,114.8499984741211,2103100,114.8499984741211,-1.2786569036432378
15,2015-01-26,114.87000274658205,111.8499984741211,114.5500030517578,114.3000030517578,1497200,114.3000030517578,0.4788815234396584
16,2015-01-27,114.62999725341795,112.0500030517578,112.6999969482422,113.19000244140624,1201000,113.19000244140624,0.9711291169860489
17,2015-01-28,115.13999938964844,112.83999633789062,114.66999816894531,112.83999633789062,1895200,112.83999633789062,0.30921998053387656
18,2015-01-29,114.48999786376952,111.62000274658205,112.56999969482422,113.9800033569336,1348700,113.9800033569336,-1.0102862956759642
19,2015-01-30,114.7300033569336,111.37999725341795,113.2300033569336,111.62000274658205,1073600,111.62000274658205,2.0705391655070393
20,2015-02-02,112.9000015258789,110.0999984741211,110.29000091552734,112.61000061035156,1310400,112.61000061035156,-0.8869358890961253
21,2015-02-03,113.5500030517578,110.83999633789062,112.61000061035156,112.3499984741211,1004200,112.3499984741211,0.23088725230551885
22,2015-02-04,112.62000274658205,109.72000122070312,112.18000030517578,110.0999984741211,1627100,110.0999984741211,2.0026702541685117
23,2015-02-05,111.22000122070312,109.19000244140624,110.04000091552734,111.08000183105469,1351800,111.08000183105469,-0.8901029704954471
24,2015-02-06,112.8000030517578,110.58999633789062,111.23999786376952,111.98999786376952,1087800,111.98999786376952,-0.819225799166688
25,2015-02-09,112.48999786376952,110.3499984741211,111.77999877929688,110.4499969482422,831500,110.4499969482422,1.375123622558376
26,2015-02-10,113.30999755859376,110.52999877929688,111.1999969482422,112.86000061035156,1150500,112.86000061035156,-2.181986173561153
27,2015-02-11,114.55999755859376,112.44000244140624,113.12000274658205,113.7699966430664,1100700,113.7699966430664,-0.8063051814580431
28,2015-02-12,115.77999877929688,114.04000091552734,114.70999908447266,115.2699966430664,1050800,115.2699966430664,-1.3184495422866096
